tool,id,status,outcome,outputBytes,outputSha256,errorCode
into-0.0.4-off,6f6703c7499a3508,success,degraded,1126,98f1d351b2c62c07de1d690d98a0dd72dd04d447d9c06980027091201edf37a6,legacyOffice.ppt.layoutPartiallyRecovered
into-0.0.4-off,7528f73d3eafc266,success,degraded,11,934658445a56eabdf7ff4b6de7715ae60889b556de65226a42fbcd6b137a52eb,legacyOffice.ppt.imagePlacementRecovered
into-0.0.4-off,86641dd97dda76de,success,degraded,233,4448f2821023333c3feb2e6cf9be951ee3554a81ce582d2cb2c4cb80194bbf7e,legacyOffice.ppt.layoutPartiallyRecovered
into-0.0.4-off,8cc0b8771e994091,success,degraded,11,934658445a56eabdf7ff4b6de7715ae60889b556de65226a42fbcd6b137a52eb,legacyOffice.ppt.layoutPartiallyRecovered
into-0.0.4-off,9c4d1027119de365,success,degraded,59,029d2b059a7fa0531c97da7a0d80d07d4748466b08665a1cbb924f31b71daf63,legacyOffice.ppt.imagePlacementRecovered
into-0.0.4-off,9e896572d49acbea,failed,failed,0,,encrypted
into-0.0.4-off,b11ddfaebc001afc,failed,failed,0,,malformed
into-0.0.4-off,b88a5c5466bec2cb,success,degraded,11,934658445a56eabdf7ff4b6de7715ae60889b556de65226a42fbcd6b137a52eb,legacyOffice.ppt.layoutPartiallyRecovered
into-0.0.4-off,d4dfab0cab9021e9,failed,failed,0,,malformed
into-0.0.4-off,db2410c04af1be06,failed,failed,0,,malformed
into-0.0.4-off,df1d7154772f39b9,success,degraded,210,aec082edb8ae29c7bc11b247847b4f1fed95251edb387515bdcce8a41caa1519,legacyOffice.ppt.layoutPartiallyRecovered
into-0.0.4-off,3ce325623a5462e4,success,degraded,33,8ff9a0cab959aa2fe47e8d64ac54c95d21beed32a5911f17d9625560b3e99628,legacyOffice.ppt.layoutPartiallyRecovered
into-0.0.4-off,3ea6af976377bada,failed,failed,0,,malformed
into-0.0.4-off,504ae451fe84b67e,success,degraded,238,e5ff75ed4027df382b6d5aa3c8360a3071a4f222f3ef27bcafe93b9e1c19eef9,legacyOffice.ppt.layoutPartiallyRecovered
into-0.0.4-off,506d3f3ca93c4a0f,success,degraded,33,98730f67f3b292f95b0bda0ceba209c560e8b7f36afbb121cfbb6dda817b592e,legacyOffice.ppt.layoutPartiallyRecovered
into-0.0.4-off,5098bfbca84d46f1,success,degraded,33,1262817c234b7b9db18457ebb2eafcaac0c03347403f40803173f54cc2caadc0,legacyOffice.ppt.layoutPartiallyRecovered
into-0.0.4-off,b058f1966b10b9ea,success,degraded,35,fb15b975482092750f5884e3f708c0a67ce9d7a84dde86cabe2866946366fec1,legacyOffice.ppt.layoutPartiallyRecovered
into-0.0.4-off,b2b32a771cb8c2c8,failed,failed,0,,malformed
into-0.0.4-off,b848cc2e9ffaa3f6,success,degraded,95,3281017b5ef5e1d151b442e87106d275fc190009a788fe044d969315a8703211,legacyOffice.ppt.layoutPartiallyRecovered
into-0.0.4-off,c6f8529981c35ca5,success,degraded,88,e8ba128a69a9ea4246b4236c76ffce5ebe13b24698f97c4febbdcf27c9e7e927,legacyOffice.ppt.layoutPartiallyRecovered
into-0.0.4-off,c90f2f950b6fa119,success,degraded,33,98730f67f3b292f95b0bda0ceba209c560e8b7f36afbb121cfbb6dda817b592e,legacyOffice.ppt.layoutPartiallyRecovered
into-0.0.4-off,c9f7f2025785245a,success,degraded,138,6273a07020235e6006c9876ddb31300085d277bbd82d06c9808d32a7bc307ee3,legacyOffice.ppt.layoutPartiallyRecovered
into-0.0.4-off,cdfb0a473b37a910,success,degraded,43,d7e2da584c7bc1199a8f187ff90adc5ad47d41eec2ec8e2ff0c19f56a390e827,legacyOffice.ppt.layoutPartiallyRecovered
into-0.0.4-off,d4e7ae1de7fd3659,failed,failed,0,,malformed
into-0.0.4-off,df16df0e8d65c137,failed,failed,0,,malformed
into-0.0.4-off,edc5adc1d2deee80,success,degraded,2862,d99e695bb6127bd6fbdd188972574ff3642e7efd73dae27892a95f836b47d5c4,legacyOffice.ppt.imagePlacementRecovered
into-0.0.4-off,fced63ea4f295ab7,failed,failed,0,,malformed
into-0.0.4-off,02115aa822da2fac,success,degraded,33,8ff9a0cab959aa2fe47e8d64ac54c95d21beed32a5911f17d9625560b3e99628,legacyOffice.ppt.layoutPartiallyRecovered
into-0.0.4-off,1f4bcb972d416912,success,degraded,11,934658445a56eabdf7ff4b6de7715ae60889b556de65226a42fbcd6b137a52eb,legacyOffice.ppt.layoutPartiallyRecovered
into-0.0.4-off,27217fab050eee21,success,degraded,11,934658445a56eabdf7ff4b6de7715ae60889b556de65226a42fbcd6b137a52eb,legacyOffice.ppt.layoutPartiallyRecovered
into-0.0.4-off,2e907cfbb8d0ef42,success,degraded,156,ecebc35d7a35f1672d25d9c116308eda9df65fbc352442c310f0e09a8919c156,legacyOffice.ppt.imagePlacementRecovered
into-0.0.4-off,381f3c71a52f0b00,success,degraded,8872,d3caf5758fa8fb69c9624f0a17d2990ba0fe74db60039175ef24526954085cdf,legacyOffice.ppt.layoutPartiallyRecovered
into-0.0.4-off,38baa3c50c5c0989,failed,failed,0,,max_decompressed_bytes
into-0.0.4-off,5d98bdd8c30174f0,success,degraded,23,92cc217179237d4b2217b676d6dc08869948e819b7394ddc5a35e4a338ae0fbf,legacyOffice.ppt.layoutPartiallyRecovered
into-0.0.4-off,747559ff7bde213b,success,degraded,49,bfc6f73c742157c41ccc14d6cf95011046556c4285e72e5ba888b7dc9c7ee98f,legacyOffice.ppt.layoutPartiallyRecovered
into-0.0.4-off,812658d0fdddac3d,failed,failed,0,,malformed
into-0.0.4-off,89b73fe730707073,success,degraded,200,91e53b9af49e41ad465cf7b96a717402331c74f5168d90eb329ae0f4827ae4ff,legacyOffice.ppt.imagePlacementRecovered
into-0.0.4-off,ac69bc865f3d49f2,success,degraded,72,9b0308b77d4fb738cb8bad708ec8c8a51ab8e3eed1ee6b845f5f7d439d5e86a9,legacyOffice.ppt.layoutPartiallyRecovered
into-0.0.4-off,bd84d522fa34a162,success,degraded,67,432031718304a22621ba791f3ce6a44bd8b10fe80c4559c4b659647be27ba1bd,legacyOffice.ppt.layoutPartiallyRecovered
into-0.0.4-off,d415c047f79c3150,success,degraded,83,a2ba5e5ead9f1c0570f332b6f1ffcbac4c3d8a41ac2fbec201f03da21a7e1eb6,legacyOffice.ppt.layoutPartiallyRecovered
