tool,id,relativePath,extension,sha256,status,processingDurationMs,outputBytes,errorCode
into-0.0.5-auto,60c3571cfb078b40,mixed/apache-tika/tika-parsers/tika-parsers-standard/tika-parsers-standard-modules/tika-parser-pdf-module/src/test/resources/test-documents/testPDF_protected.pdf,pdf,ff4f3a11b2ae08e8a38cd026317a4aac84cd489ebc5a4015f51503c99711f729,success,2293.0289999999995,79689,ocr.lowConfidence
into-0.0.5-auto,6ef0fc868e3dc907,pdf/simplified-chinese/scanned-official/beijing-bid-candidate-stamped-scan.pdf,pdf,7d906ab4c5b8a4dfaf7e8d8a0b1bafcbb6cd33d808eed894f51e86b5de49fef6,success,4223.8261,3163,ocr.lowConfidence
into-0.0.5-auto,787d08248c98ba98,mixed/apache-tika/tika-parsers/tika-parsers-standard/tika-parsers-standard-modules/tika-parser-pdf-module/src/test/resources/test-documents/testPDF_jpeg2000.pdf,pdf,9a47629bd9dc969a191134416298c11ab92e993acb304a1a14771d96b0807c50,success,5108.0032,7104,ocr.lowConfidence
into-0.0.5-auto,864e8005b6064daa,pdf/internet-archive/unitedstatesstan14unit_4_bw.pdf,pdf,0aff44dd7d5c71c336322c243e609451f99778e47ed758b2e1bb50cc1353f6c0,success,17667.805099999998,8952,pdf.optionalOcrSkipped
into-0.0.5-auto,92a8e78cdc457b7f,mixed/apache-tika/tika-parsers/tika-parsers-standard/tika-parsers-standard-modules/tika-parser-pdf-module/src/test/resources/test-documents/testFlashInPDF.pdf,pdf,b39db8542746952a4ca1fd8ce7f71ebcabea2256c0a7b956b7d72ae9c46b8b79,success,32.8324,35,
into-0.0.5-auto,9374d66710ed933b,mixed/apache-tika/tika-parsers/tika-parsers-standard/tika-parsers-standard-modules/tika-parser-pdf-module/src/test/resources/test-documents/testPDFVarious.pdf,pdf,704c9a0c82e239286dff72aab34bab968dd9ba0083e407ec78960a5fb016e833,success,411.9495,939,
into-0.0.5-auto,a480a83474d87afc,mixed/apache-tika/tika-parsers/tika-parsers-standard/tika-parsers-standard-modules/tika-parser-pdf-module/src/test/resources/test-documents/testPDF_angles.pdf,pdf,7d77795cc2269e5324af4a281bb9378c03dd475d4baaa3bd0819cc1700364e08,success,1928.3105,2109,ocr.lowConfidence
into-0.0.5-auto,c04d73629c0a1ca4,pdf/simplified-chinese/scanned-official/ceracu-281-stamped-scan.pdf,pdf,21a451da2d243146f7e995c7d30875504f4d9da51b13be23776b899e33c08636,success,2124.1097,7437,ocr.lowConfidence
into-0.0.5-auto,e1a4f7d2e8feeb3f,mixed/apache-tika/tika-parsers/tika-parsers-standard/tika-parsers-standard-modules/tika-parser-pdf-module/src/test/resources/test-documents/testPDF_XFA_govdocs1_258578.pdf,pdf,b6a6c30d4b78c01364eb04be9003001425895b374fd51e99d3d08584806f70b6,success,558.378,1207,
into-0.0.5-auto,02ccc7528ddfe115,pdf/simplified-chinese/scanned-official/ceracu-282-stamped-scan.pdf,pdf,5b49bfc907e8ec680de4521b679df06626e26e3e964fdd1f8ff34af18f62847e,success,10808.494200000001,6438,ocr.lowConfidence
into-0.0.5-auto,1ac624d2d3f9ef9e,pdf/simplified-chinese/scanned-official/ceracu/ceracu-282-stamped-scan.pdf,pdf,5b49bfc907e8ec680de4521b679df06626e26e3e964fdd1f8ff34af18f62847e,success,10792.9285,6438,ocr.lowConfidence
into-0.0.5-auto,341988f676d32abf,mixed/apache-tika/tika-parsers/tika-parsers-standard/tika-parsers-standard-modules/tika-parser-pdf-module/src/test/resources/test-documents/testJournalParser.pdf,pdf,105f9d5fa72021d79c8382de941f3ac42cced7758735b276cc401eb451b7d515,success,7058.0711,52473,ocr.lowConfidence
into-0.0.5-auto,6341d990446b09d3,pdf/simplified-chinese/scanned-official/ceracu/ceracu-278-stamped-scan.pdf,pdf,54071d961fecb56dfb3bf2f9aec97c86c71421793e93718e5eef7869e6d44354,success,6553.056299999999,6417,ocr.lowConfidence
into-0.0.5-auto,6bb08e9d62c4d667,pdf/simplified-chinese/scanned-official/ceracu-283-stamped-scan.pdf,pdf,96c447541e812dbf7a8d4c44145b8f584d12e83d2a759bea8c1f6f56096d9fcd,success,10734.239300000001,6487,ocr.lowConfidence
into-0.0.5-auto,9ef8bd986246a820,pdf/simplified-chinese/scanned-official/ceracu/ceracu-284-stamped-scan.pdf,pdf,1d10f364b4d1c535850810dcd3bb286f4513c2dc05cb38d2863dd22eb393d1e3,success,7293.6318,7050,ocr.lowConfidence
into-0.0.5-auto,a46db92df0f05d9c,pdf/simplified-chinese/scanned-official/ceracu-279-stamped-scan.pdf,pdf,96c447541e812dbf7a8d4c44145b8f584d12e83d2a759bea8c1f6f56096d9fcd,success,10712.952,6487,ocr.lowConfidence
into-0.0.5-auto,acf4f291fe257412,pdf/simplified-chinese/scanned-official/ceracu/ceracu-266-stamped-scan.pdf,pdf,f9595b6fccb65165d1661f1133212a31f045980792f72c88b5f71aacfb7e0ed2,success,6072.4583,4932,ocr.lowConfidence
into-0.0.5-auto,bfc9dbc84d26e478,pdf/simplified-chinese/scanned-official/ceracu/ceracu-291-stamped-scan.pdf,pdf,2df7d9a1845aae673c875c31f1277a92d4c9c7d0d270688ae244fb2526969db0,success,7359.5408,7131,ocr.lowConfidence
into-0.0.5-auto,c98b862c63a04a4d,pdf/internet-archive/unitedstatesstan14unit_4.pdf,pdf,3bbf9389ba2ee97bacb9ccc6fd7f5d695c74ea8443d6e4be2dcf2e9375201240,success,23071.5708,12247,pdf.optionalOcrSkipped
into-0.0.5-auto,cf7ed872d4e911cc,pdf/simplified-chinese/xmu-probability/xmu-12-conclusion.pdf,pdf,1d6b03d0c6947de1dca5e889fa11736e2682a02bd43c10d3ec3725b949deb527,success,4240.2002999999995,14399,ocr.lowConfidence
into-0.0.5-auto,cfdbbd41fa7cff11,pdf/simplified-chinese/xmu-probability/xmu-07-convergence-limit-theorems.pdf,pdf,94b211d634990a109a3b3015f2f54ff1b3c378932ada338ed90c32b9bd95ca17,success,6610.2299,80230,ocr.lowConfidence
into-0.0.5-auto,e812b6791236a4fd,pdf/simplified-chinese/scanned-official/ceracu/ceracu-267-stamped-scan.pdf,pdf,4b88283ae6b342f2f38853e4e4fa9b1469f36b24217ac0200f756c090cf1c8c6,success,7233.626700000001,7102,ocr.lowConfidence
into-0.0.5-auto,e881cd94510fcb92,pdf/simplified-chinese/xmu-probability/xmu-09-hypothesis-testing.pdf,pdf,7368c16a2996eb6a9688af5480038be2569ff5e83fd0835f9420afe05c731d3b,success,3744.6909,67904,ocr.lowConfidence
into-0.0.5-auto,f217c8a400d7c2b5,pdf/simplified-chinese/scanned-official/ceracu/ceracu-283-stamped-scan.pdf,pdf,96c447541e812dbf7a8d4c44145b8f584d12e83d2a759bea8c1f6f56096d9fcd,success,10711.8734,6487,ocr.lowConfidence
into-0.0.5-auto,f86c9d43d0939170,pdf/simplified-chinese/wikimedia-commons/chinese-herbal-classics-simplified-public-domain.pdf,pdf,f8a6cfe5b057a8cae0217868b797de8f73250d46d2dc06804aa0b1dda6b154f9,success,989.5294,860789,
into-0.0.5-auto,083be0f4727ef738,pdf/simplified-chinese/wikimedia-commons/chinese-wikipedia-monthly-issue-6.pdf,pdf,4ac53f39beae6a34d29c2e5062137d13312587beb1b9e2b44f5d5cc7850bfc39,success,27406.232,33644,pdf.optionalOcrSkipped
into-0.0.5-auto,0afad9dc03a3f2cb,pdf/simplified-chinese/scanned-official/ceracu/ceracu-289-stamped-scan.pdf,pdf,7c3bbe6ec3ad551f86a171384b31957708788bf4b19351f00201ac07d3fa875c,success,9211.259399999999,8804,ocr.lowConfidence
into-0.0.5-auto,1864fc833b12b337,pdf/simplified-chinese/scanned-official/ceracu-289-stamped-scan.pdf,pdf,7c3bbe6ec3ad551f86a171384b31957708788bf4b19351f00201ac07d3fa875c,success,9296.7798,8804,ocr.lowConfidence
into-0.0.5-auto,1c185471a8d4da8f,pdf/internet-archive/whattodrawhowtod00lutz.pdf,pdf,6bc03ddc6df47cdccd872a1358cdd15c1b68a4044e7eae771f89964b55d17421,success,126525.1564,11558,ocr.lowConfidence
into-0.0.5-auto,3d2ba00aedea488e,pdf/simplified-chinese/xmu-probability/xmu-01-introduction.pdf,pdf,4d49b2bf8f924a70a195984330ffd8690d8712a65d580c9e9432ffdff8d4aed5,success,41225.6178,30528,ocr.lowConfidence
into-0.0.5-auto,42de04aeb41f002b,pdf/simplified-chinese/xmu-probability/xmu-05-multivariate-random-variables.pdf,pdf,727e714d6e65056f5dbc0c87ecee31480b0fb81d47cc464ef1116ddb26320da2,success,11383.2642,191927,ocr.lowConfidence
into-0.0.5-auto,4f35014501ab7701,pdf/simplified-chinese/xmu-probability/xmu-08-parameter-estimation.pdf,pdf,83a7126f2636d3676abffd3a4fa72d1f20d112a2318a671a984e66510a9cab4f,success,4013.9658999999997,133084,ocr.lowConfidence
into-0.0.5-auto,63285a64a5440eb9,mixed/apache-tika/tika-parsers/tika-parsers-standard/tika-parsers-standard-modules/tika-parser-pdf-module/src/test/resources/test-documents/testPDF_childAttachments.pdf,pdf,9396d203b78cc367d8879c867f45de0f8ea16e15ecd5831e570240aba081083e,success,903.375,324425,
into-0.0.5-auto,70ad7d515ade0b48,pdf/simplified-chinese/xmu-probability/xmu-04-important-distributions.pdf,pdf,80a66b4e954665a06cae2b118058ac2e5aea97545a51ddcbcf221e28069d9e18,success,22338.8648,62792,ocr.lowConfidence
into-0.0.5-auto,748b28b8e9dd30e4,pdf/simplified-chinese/xmu-probability/xmu-03-random-variables.pdf,pdf,af39b563dca0a0794a3f1b32bc01cca567ffb419a2af14627e3346d763f1a8f4,success,12458.5294,121326,ocr.lowConfidence
into-0.0.5-auto,79f9e7906b8423bd,pdf/simplified-chinese/xmu-probability/xmu-06-sampling-theory.pdf,pdf,53027a3dcc531627570438abf45f4c947272c8a9f01fb375dcb5d98ab0395a0a,success,8829.539799999999,97043,ocr.lowConfidence
into-0.0.5-auto,92fc9e24aee05a9e,pdf/simplified-chinese/xmu-probability/xmu-02-probability-and-statistics.pdf,pdf,fb566290d8bcf4bc1834975367aec7b9d1b77191c979f7055c21c776f36690ca,success,32020.9979,63402,ocr.lowConfidence
into-0.0.5-auto,9a361a1a6c007788,pdf/stanford-cs161/Lecture8-lowquality.pdf,pdf,4df482fc81ced2d757963949621061a9fe319524e1aa1f0c0d616ece1d0d9cec,success,54780.8145,20673,ocr.lowConfidence
into-0.0.5-auto,a942be888c0fe523,pdf/simplified-chinese/xmu-probability/xmu-11-big-data-machine-learning.pdf,pdf,7d78472b575b85632ae9d9628cfc25b0f46f004510a91c564dc1e510d36d634c,success,34406.743,30066,ocr.lowConfidence
into-0.0.5-auto,ba2217550435e9bc,pdf/internet-archive/whattodrawhowtod00lutz_bw.pdf,pdf,766374f5b6d5d6fe2033f0f3b8c74d82dc04699040f27ced90288e70e623b3ce,success,104225.288,11551,ocr.lowConfidence
into-0.0.5-auto,e0d6c732185b8a52,pdf/simplified-chinese/xmu-probability/xmu-10-linear-regression.pdf,pdf,845c345874516e6047988fa6d92dd45b32b781955ba42e916a72d82ef238a4be,success,2814.7294,122146,ocr.lowConfidence
into-0.0.5-auto,977cb3893f9700db,office/simplified-chinese/supreme-court-public-notice/court-attachment-05.pdf,pdf,7ff0121fab0a2a57dea81dd22c6ee8888a03e1702b893496bf2969f79531227c,failed,,0,malformed
into-0.0.5-auto,ed33655f95c1acfb,pdf/stanford-cs161/Lecture9-lowquality.pdf,pdf,358758d68245b774963974208dbadf5e73661ca1b18762add50dab2260d9d55f,success,30990.3779,35331,pdf.optionalOcrSkipped
into-0.0.5-auto,0c3745430f644f04,pdf/stanford-cs161/Lecture11-lowquality.pdf,pdf,71a2b7f7f5fb7b572509e77404bc394a3f3e8bb92c47491722a4a2da730c0ed8,success,20322.3298,46751,pdf.optionalOcrSkipped
into-0.0.5-auto,ee9b05db0b60c17e,pdf/internet-archive/wonderfulwizardo00baumiala_bw.pdf,pdf,4efd7acfad07ead7800a8a1c78386bc09b1b5b47975b843fe0434b681017e326,failed,,0,timeout
into-0.0.5-auto,8dc42a6ba7978a9c,pdf/internet-archive/wonderfulwizardo00baumiala.pdf,pdf,6b9306ac46858f56269ddd8926f0ead91ffa4012eb8dd05f67009b0609e0ba20,failed,,0,timeout
