tool,id,extension,scored,reason,textRecall,orderRecall,sectionRecall,tableRecallProxy,clean,qualityScore
into-0.0.4-off,5538d2f4ae678bcc,doc,False,no-independent-text-reference,,,,,,
into-0.0.4-off,638657cc5527a674,doc,False,no-independent-text-reference,,,,,,
into-0.0.4-off,9b9f5a977c0e36af,doc,False,no-independent-text-reference,,,,,,
into-0.0.4-off,9ef2fe6b5a7ef7b6,doc,False,no-independent-text-reference,,,,,,
into-0.0.4-off,bf42365fb82fb3cf,doc,False,no-independent-text-reference,,,,,,
into-0.0.4-off,c74d39a37f24e173,doc,False,no-independent-text-reference,,,,,,
into-0.0.4-off,d8476059ff25aefd,doc,False,no-independent-text-reference,,,,,,
into-0.0.4-off,da3de29a35a11bac,doc,False,no-independent-text-reference,,,,,,
into-0.0.4-off,de42e402930ee3bd,doc,False,no-independent-text-reference,,,,,,
into-0.0.4-off,fdaa8f861a91b335,doc,False,no-independent-text-reference,,,,,,
into-0.0.4-off,00c5eecc2d21e5d0,doc,False,no-independent-text-reference,,,,,,
into-0.0.4-off,048feaeddf0dd9ae,doc,False,no-independent-text-reference,,,,,,
into-0.0.4-off,0efb3ac095e94d0e,doc,False,no-independent-text-reference,,,,,,
into-0.0.4-off,1603ae06505bb3d2,doc,False,no-independent-text-reference,,,,,,
into-0.0.4-off,2d344a423a81b1ed,doc,False,no-independent-text-reference,,,,,,
into-0.0.4-off,3839134f4a620f5e,doc,False,no-independent-text-reference,,,,,,
into-0.0.4-off,48ded90e42270294,doc,False,no-independent-text-reference,,,,,,
into-0.0.4-off,5eae621afc613e82,doc,False,no-independent-text-reference,,,,,,
into-0.0.4-off,7b2f928cf48c625a,doc,False,no-independent-text-reference,,,,,,
into-0.0.4-off,7bc50f6702523e26,doc,False,no-independent-text-reference,,,,,,
into-0.0.4-off,806d838c845761b2,doc,False,no-independent-text-reference,,,,,,
into-0.0.4-off,839ed7b9584a70d8,doc,False,no-independent-text-reference,,,,,,
into-0.0.4-off,98d76b63ff3dc9b3,doc,False,no-independent-text-reference,,,,,,
into-0.0.4-off,a79f089c7bf3171b,doc,False,no-independent-text-reference,,,,,,
into-0.0.4-off,c150215fe4c76f58,doc,False,no-independent-text-reference,,,,,,
into-0.0.4-off,f24a113a04f98ebe,doc,False,no-independent-text-reference,,,,,,
into-0.0.4-off,0a676e73d7d3ee52,doc,False,no-independent-text-reference,,,,,,
into-0.0.4-off,0f8671e0adc29ace,doc,False,no-independent-text-reference,,,,,,
into-0.0.4-off,13ae25a07aacb7c7,doc,False,no-independent-text-reference,,,,,,
into-0.0.4-off,15c0a5ec82c9d362,doc,False,no-independent-text-reference,,,,,,
into-0.0.4-off,35e0e1e10e2998da,doc,False,no-independent-text-reference,,,,,,
into-0.0.4-off,3c71f3933d0a8dee,doc,False,no-independent-text-reference,,,,,,
into-0.0.4-off,5467ec454d38c4ff,doc,False,no-independent-text-reference,,,,,,
into-0.0.4-off,725ac7875d91a1bf,doc,False,no-independent-text-reference,,,,,,
into-0.0.4-off,8483f19b49d5a4ca,doc,False,no-independent-text-reference,,,,,,
into-0.0.4-off,87de95795c209174,doc,False,no-independent-text-reference,,,,,,
into-0.0.4-off,9e27d7914e1765cb,doc,False,no-independent-text-reference,,,,,,
into-0.0.4-off,ad92bb956d1ac544,doc,False,no-independent-text-reference,,,,,,
into-0.0.4-off,c636c12da108468c,doc,False,no-independent-text-reference,,,,,,
into-0.0.4-off,cc45207a41568118,doc,False,no-independent-text-reference,,,,,,
into-0.0.4-off,e946be97d8e9bccf,doc,False,no-independent-text-reference,,,,,,
into-0.0.4-off,fc25692827020fa0,doc,False,no-independent-text-reference,,,,,,
into-0.0.4-off,0b9916e2da03af39,doc,False,no-independent-text-reference,,,,,,
into-0.0.4-off,0e4edb6a4cbc9143,doc,False,no-independent-text-reference,,,,,,
into-0.0.4-off,101857e2ab4f9de4,doc,False,no-independent-text-reference,,,,,,
into-0.0.4-off,3619d298af748c6e,doc,False,no-independent-text-reference,,,,,,
into-0.0.4-off,450ede3b7f1d6e60,doc,False,no-independent-text-reference,,,,,,
into-0.0.4-off,531f2f6d63ba1334,doc,False,no-independent-text-reference,,,,,,
into-0.0.4-off,5eebc5699d19ae5e,doc,False,no-independent-text-reference,,,,,,
into-0.0.4-off,8b261fcaa448a6ad,doc,False,no-independent-text-reference,,,,,,
into-0.0.4-off,b78c740080fe1273,doc,False,no-independent-text-reference,,,,,,
into-0.0.4-off,ba822d463ad0e755,doc,False,no-independent-text-reference,,,,,,
into-0.0.4-off,c44e82cfdc76e58b,doc,False,no-independent-text-reference,,,,,,
into-0.0.4-off,ca305a7eca6452d3,doc,False,no-independent-text-reference,,,,,,
into-0.0.4-off,d0327600f870cb21,doc,False,no-independent-text-reference,,,,,,
into-0.0.4-off,d31e31b600f936b8,doc,False,no-independent-text-reference,,,,,,
into-0.0.4-off,f21b84cc1e1429fc,doc,False,no-independent-text-reference,,,,,,
into-0.0.4-off,f255310966cbe991,doc,False,no-independent-text-reference,,,,,,
into-0.0.4-off,123109cce34b0cf0,doc,False,no-independent-text-reference,,,,,,
into-0.0.4-off,2d852944057b0b18,doc,False,no-independent-text-reference,,,,,,
into-0.0.4-off,3ee13cc8f12fb369,doc,False,no-independent-text-reference,,,,,,
into-0.0.4-off,4b7c468442d2ae1d,doc,False,no-independent-text-reference,,,,,,
into-0.0.4-off,4c2a1201c6dfde48,doc,False,no-independent-text-reference,,,,,,
into-0.0.4-off,577ac90d5431ec7a,doc,False,no-independent-text-reference,,,,,,
into-0.0.4-off,5dd3ae65269db948,doc,False,no-independent-text-reference,,,,,,
into-0.0.4-off,6e8d7ef51790d80e,doc,False,no-independent-text-reference,,,,,,
